STATE,Joseph R. Biden Votes,Joseph R. Biden %,Joseph R. Biden EV,Donald Trump Votes,Donald Trump %,Donald Trump EV,State_Code
Alabama,849624.0,36.57,,1441170.0,62.03,9.0,AL
Alaska,153778.0,42.77,,189951.0,52.83,3.0,AK
Arizona,1672143.0,49.36,11.0,1661686.0,49.06,,AZ
Arkansas,423932.0,34.78,,760647.0,62.4,6.0,AR
California,11110250.0,63.48,55.0,6006429.0,34.32,,CA
Colorado,1804352.0,55.4,9.0,1364607.0,41.9,,CO
Connecticut,1080680.0,59.24,7.0,715291.0,39.21,,CT
Delaware,296268.0,58.78,3.0,200603.0,39.8,,DE
District of Columbia,317323.0,92.15,3.0,18586.0,5.4,,DC
Florida,5297045.0,47.86,,5668731.0,51.22,29.0,FL
Georgia,2473633.0,49.5,16.0,2461854.0,49.26,,GA
Hawaii,366130.0,63.73,4.0,196864.0,34.27,,HI
Idaho,287021.0,33.07,,554119.0,63.84,4.0,ID
Illinois,3471915.0,57.54,20.0,2446891.0,40.55,,IL
Indiana,1242416.0,40.96,,1729519.0,57.02,11.0,IN
Iowa,759061.0,44.89,,897672.0,53.09,6.0,IA
Kansas,570323.0,41.56,,771406.0,56.21,6.0,KS
Kentucky,772474.0,36.15,,1326646.0,62.09,8.0,KY
Louisiana,856034.0,39.85,,1255776.0,58.46,8.0,LA
Maine,435072.0,53.09,2.0,360737.0,44.02,,ME
Maryland,1985023.0,65.36,10.0,976414.0,32.15,,MD
Massachusetts,2382202.0,65.6,11.0,1167202.0,32.14,,MA
Michigan,2804040.0,50.62,16.0,2649852.0,47.84,,MI
Minnesota,1717077.0,52.4,10.0,1484065.0,45.28,,MN
Mississippi,539398.0,41.06,,756764.0,57.6,6.0,MS
Missouri,1253014.0,41.41,,1718736.0,56.8,10.0,MO
Montana,244786.0,40.55,3.0,343602.0,56.92,,MT
Nebraska,374583.0,39.36,,556846.0,58.51,2.0,NE
Nevada,703486.0,50.06,6.0,669890.0,47.67,,NV
New Hampshire,424937.0,52.71,4.0,365660.0,45.36,,NH
New Jersey,2608335.0,57.33,14.0,1883274.0,41.4,,NJ
New Mexico,501614.0,54.29,5.0,401894.0,43.5,,NM
New York,5230985.0,60.86,29.0,3244798.0,37.75,,NY
North Carolina,2684292.0,48.59,,2758775.0,49.93,15.0,NC
North Dakota,114902.0,31.76,,235595.0,65.11,3.0,ND
Ohio,2679165.0,45.24,,3154834.0,53.27,18.0,OH
Oklahoma,503890.0,32.29,,1020280.0,65.37,7.0,OK
Oregon,1340383.0,56.45,7.0,958448.0,40.37,,OR
Pennsylvania,3458229.0,50.01,20.0,3377674.0,48.84,,PA
Rhode Island,307486.0,59.39,4.0,199922.0,38.61,,RI
South Carolina,1091541.0,43.43,,1385103.0,55.11,9.0,SC
South Dakota,150471.0,35.61,,261043.0,61.77,3.0,SD
Tennessee,1143711.0,37.45,,1852475.0,60.66,11.0,TN
Texas,5259126.0,46.48,,5890347.0,52.06,,TX
Utah,560282.0,37.65,38.0,865140.0,58.13,6.0,UT
Vermont,242820.0,66.09,,112704.0,30.67,,VT
Virginia,2413568.0,54.11,3.0,1962430.0,44.0,,VA
Washington,2369612.0,57.97,13.0,1584651.0,38.77,,WA
West Virginia,235984.0,29.7,12.0,545382.0,68.63,,WV
Wisconsin,1630866.0,49.45,,1610184.0,48.82,,WI
Wyoming,73491.0,26.55,10.0,193559.0,69.94,3.0,WY
,,,,,,,
