STATE,Kamala Harris Votes,Kamala Harris %,Kamala Harris EV,Donald Trump Votes,Donald Trump %,Donald Trump EV,State_Code
Alabama,769391.0,34.1,0,1457704.0,64.6,9.0,AL
Alaska,139812.0,41.4,0,184204.0,54.5,3.0,AK
Arizona,1582860.0,46.7,0,1770242.0,52.2,11.0,AZ
Arkansas,396905.0,33.5,0,759241.0,64.2,6.0,AR
California,9183800.0,58.6,54,5988823.0,38.2,0.0,CA
Colorado,1727622.0,54.1,10,1377111.0,43.2,0.0,CO
Connecticut,994736.0,56.4,7,740294.0,41.9,0.0,CT
Delaware,289758.0,56.6,3,214351.0,41.9,0.0,DE
District of Columbia,,,3,,,0.0,DC
Florida,4683038.0,43.0,0,6110125.0,56.1,30.0,FL
Georgia,2548018.0,48.5,0,2663117.0,50.7,16.0,GA
Hawaii,,,4,,,0.0,HI
Idaho,274973.0,30.4,0,605246.0,66.9,4.0,ID
Illinois,3038725.0,54.6,19,2441039.0,43.8,0.0,IL
Indiana,1167395.0,39.6,0,1732918.0,58.7,11.0,IN
Iowa,707278.0,42.5,0,927019.0,55.7,6.0,IA
Kansas,531989.0,41.0,0,741464.0,57.2,6.0,KS
Kentucky,700921.0,33.9,0,1336230.0,64.5,8.0,KY
Louisiana,766870.0,38.2,0,1208505.0,60.2,8.0,LA
Maine,430035.0,52.1,3,375695.0,45.5,1.0,ME
Maryland,1860918.0,62.7,10,1210926.0,34.6,0.0,MD
Massachusetts,2074200.0,60.9,11,1238649.0,36.4,0.0,MA
Michigan,2736843.0,48.2,0,2818429.0,49.7,15.0,MI
Minnesota,1656979.0,51.1,10,1519035.0,46.9,0.0,MN
Mississippi,435965.0,37.3,0,716050.0,61.3,6.0,MS
Missouri,1190806.0,40.0,0,1739020.0,58.4,10.0,MO
Montana,231856.0,38.3,0,352001.0,58.1,4.0,MT
Nebraska,369248.0,39.1,1,563702.0,59.6,4.0,NE
Nevada,705197.0,47.5,0,751205.0,50.6,6.0,NV
New Hampshire,418351.0,50.7,4,395397.0,47.9,0.0,NH
New Jersey,2212472.0,51.8,14,1963236.0,45.9,0.0,NJ
New Mexico,478728.0,51.9,5,423328.0,45.8,0.0,NM
New York,4396096.0,55.6,28,3471197.0,43.9,0.0,NY
North Carolina,2715382.0,47.6,0,2898429.0,50.9,17.0,NC
North Dakota,112327.0,30.5,0,246505.0,67.0,7.0,ND
Ohio,2531253.0,43.9,0,3175344.0,55.0,0.0,OH
Oklahoma,499599.0,31.9,0,1036213.0,66.2,19.0,OK
Oregon,1227503.0,55.3,8,910081.0,41.0,0.0,OR
Pennsylvania,3421940.0,48.6,0,3542905.0,50.4,9.0,PA
Rhode Island,283750.0,55.4,4,214291.0,41.9,3.0,RI
South Carolina,1028452.0,40.4,0,1483747.0,58.2,11.0,SC
South Dakota,146859.0,34.2,0,272081.0,63.4,0.0,SD
Tennessee,1055039.0,34.4,0,1964499.0,64.1,6.0,TN
Texas,4806441.0,42.4,40,6375318.0,56.2,0.0,TX
Utah,562566.0,37.8,0,883818.0,59.4,0.0,UT
Vermont,235791.0,63.8,3,119395.0,32.3,0.0,VT
Virginia,2335391.0,51.8,13,2075093.0,46.1,0.0,VA
Washington,2241552.0,57.6,12,1526507.0,39.2,4.0,WA
West Virginia,214309.0,28.1,0,533556.0,70.0,10.0,WV
Wisconsin,1668229.0,48.8,0,1697626.0,49.6,3.0,WI
Wyoming,69527.0,25.8,0,192633.0,71.6,,WY
