STATE_2020,Biden Votes,Biden %,Biden EV,Trump Votes_2020,Trump %_2020,Trump EV_2020,State_Code,STATE_2024,Kamala Votes,Kamala %,Kamala EV,Trump Votes_2024,Trump %_2024,Trump EV_2024,Kamala-Biden % Change,Trump % Change,Kamala-Biden Vote Change,Trump Vote Change
Alabama,849624.0,36.57,0.0,1441170.0,62.03,9.0,AL,Alabama,769391.0,34.1,0.0,1457704.0,64.6,9.0,-2.469999999999999,2.569999999999993,-80233.0,16534.0
Alaska,153778.0,42.77,0.0,189951.0,52.83,3.0,AK,Alaska,139812.0,41.4,0.0,184204.0,54.5,3.0,-1.3700000000000045,1.6700000000000017,-13966.0,-5747.0
Arizona,1672143.0,49.36,11.0,1661686.0,49.06,0.0,AZ,Arizona,1582860.0,46.7,0.0,1770242.0,52.2,11.0,-2.6599999999999966,3.1400000000000006,-89283.0,108556.0
Arkansas,423932.0,34.78,0.0,760647.0,62.4,6.0,AR,Arkansas,396905.0,33.5,0.0,759241.0,64.2,6.0,-1.2800000000000011,1.8000000000000043,-27027.0,-1406.0
California,11110250.0,63.48,55.0,6006429.0,34.32,0.0,CA,California,9183800.0,58.6,54.0,5988823.0,38.2,0.0,-4.8799999999999955,3.8800000000000026,-1926450.0,-17606.0
Colorado,1804352.0,55.4,9.0,1364607.0,41.9,0.0,CO,Colorado,1727622.0,54.1,10.0,1377111.0,43.2,0.0,-1.2999999999999972,1.3000000000000043,-76730.0,12504.0
Connecticut,1080680.0,59.24,7.0,715291.0,39.21,0.0,CT,Connecticut,994736.0,56.4,7.0,740294.0,41.9,0.0,-2.8400000000000034,2.6899999999999977,-85944.0,25003.0
Delaware,296268.0,58.78,3.0,200603.0,39.8,0.0,DE,Delaware,289758.0,56.6,3.0,214351.0,41.9,0.0,-2.1799999999999997,2.1000000000000014,-6510.0,13748.0
District of Columbia,317323.0,92.15,3.0,18586.0,5.4,0.0,DC,District of Columbia,0.0,0.0,3.0,0.0,0.0,0.0,-92.15,-5.4,-317323.0,-18586.0
Florida,5297045.0,47.86,0.0,5668731.0,51.22,29.0,FL,Florida,4683038.0,43.0,0.0,6110125.0,56.1,30.0,-4.859999999999999,4.880000000000003,-614007.0,441394.0
Georgia,2473633.0,49.5,16.0,2461854.0,49.26,0.0,GA,Georgia,2548018.0,48.5,0.0,2663117.0,50.7,16.0,-1.0,1.4400000000000048,74385.0,201263.0
Hawaii,366130.0,63.73,4.0,196864.0,34.27,0.0,HI,Hawaii,0.0,0.0,4.0,0.0,0.0,0.0,-63.73,-34.27,-366130.0,-196864.0
Idaho,287021.0,33.07,0.0,554119.0,63.84,4.0,ID,Idaho,274973.0,30.4,0.0,605246.0,66.9,4.0,-2.6700000000000017,3.0600000000000023,-12048.0,51127.0
Illinois,3471915.0,57.54,20.0,2446891.0,40.55,0.0,IL,Illinois,3038725.0,54.6,19.0,2441039.0,43.8,0.0,-2.9399999999999977,3.25,-433190.0,-5852.0
Indiana,1242416.0,40.96,0.0,1729519.0,57.02,11.0,IN,Indiana,1167395.0,39.6,0.0,1732918.0,58.7,11.0,-1.3599999999999994,1.6799999999999997,-75021.0,3399.0
Iowa,759061.0,44.89,0.0,897672.0,53.09,6.0,IA,Iowa,707278.0,42.5,0.0,927019.0,55.7,6.0,-2.3900000000000006,2.6099999999999994,-51783.0,29347.0
Kansas,570323.0,41.56,0.0,771406.0,56.21,6.0,KS,Kansas,531989.0,41.0,0.0,741464.0,57.2,6.0,-0.5600000000000023,0.990000000000002,-38334.0,-29942.0
Kentucky,772474.0,36.15,0.0,1326646.0,62.09,8.0,KY,Kentucky,700921.0,33.9,0.0,1336230.0,64.5,8.0,-2.25,2.4099999999999966,-71553.0,9584.0
Louisiana,856034.0,39.85,0.0,1255776.0,58.46,8.0,LA,Louisiana,766870.0,38.2,0.0,1208505.0,60.2,8.0,-1.6499999999999986,1.740000000000002,-89164.0,-47271.0
Maine,435072.0,53.09,2.0,360737.0,44.02,0.0,ME,Maine,430035.0,52.1,3.0,375695.0,45.5,1.0,-0.990000000000002,1.4799999999999969,-5037.0,14958.0
Maryland,1985023.0,65.36,10.0,976414.0,32.15,0.0,MD,Maryland,1860918.0,62.7,10.0,1210926.0,34.6,0.0,-2.6599999999999966,2.450000000000003,-124105.0,234512.0
Massachusetts,2382202.0,65.6,11.0,1167202.0,32.14,0.0,MA,Massachusetts,2074200.0,60.9,11.0,1238649.0,36.4,0.0,-4.699999999999996,4.259999999999998,-308002.0,71447.0
